sentence_id,token_idx,word,tag,status,information
0,6,(nnn),E-Event,invalid,"E- tag must be preceded by B- or I-, found 'E-' instead"
2,7,(nnn),E-Event,invalid,"E- tag must be preceded by B- or I-, found 'E-' instead"
10,0,GEO,B-Event,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
13,3,(Sport)-mode,E-Event,invalid,"E- tag must be preceded by B- or I-, found 'E-' instead"
20,0,Tip,B-NonEvent,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
20,2,Aircraft,I-NonEvent,invalid,"I- tag must be preceded by B- or I-, found 'O-' instead"
21,2,Altitude,I-NonEvent,invalid,"I-NonEvent followed by I-Event, entity types must match"
21,3,Zone,I-Event,invalid,"I-Event must be preceded by B-Event or I-Event, found I-NonEvent"
71,4,(Altitude,I-NonEvent,invalid,"I-NonEvent followed by I-Event, entity types must match"
71,5,limit,I-Event,invalid,"I-Event must be preceded by B-Event or I-Event, found I-NonEvent"
71,6,:,I-NonEvent,invalid,"I-NonEvent must be preceded by B-NonEvent or I-NonEvent, found I-Event"
79,0,Warning,B-Event,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
90,0,Altitude,B-NonEvent,invalid,"B-NonEvent must be followed by I-NonEvent or E-NonEvent, found I-Event"
90,1,Zone,I-Event,invalid,"I-Event must be preceded by B-Event or I-Event, found B-NonEvent"
92,0,Warning,B-Event,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
141,3,searching,E-Event,invalid,"E- tag must be preceded by B- or I-, found 'O-' instead"
148,0,Tip,B-NonEvent,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
149,0,Tip,B-NonEvent,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
200,0,Battery,B-Event,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
200,2,Connection,I-Event,invalid,"I- tag must be preceded by B- or I-, found 'O-' instead"
224,0,Warning,B-Event,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
225,0,Warning,B-Event,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
267,5,to,I-Event,invalid,"I-Event followed by I-NonEvent, entity types must match"
267,6,display,I-NonEvent,invalid,"I-NonEvent must be preceded by B-NonEvent or I-NonEvent, found I-Event"
303,0,Battery,B-Event,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
304,0,Battery,B-Event,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
305,0,Battery,B-Event,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
305,2,Overcurrent,I-Event,invalid,"I- tag must be preceded by B- or I-, found 'O-' instead"
342,7,Ensure,I-NonEvent,invalid,"I- tag must be preceded by B- or I-, found 'O-' instead"
342,37,2,B-NonEvent,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
356,4,Redundancy,I-Event,invalid,"I-Event followed by E-NonEvent, entity types must match"
356,5,Switch,E-NonEvent,invalid,"E-NonEvent must be preceded by B-NonEvent or I-NonEvent, found I-Event"
379,0,Error,B-Event,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
393,4,A/P/S,E-Event,invalid,"E- tag must be preceded by B- or I-, found 'O-' instead"
393,10,RTK,E-Event,invalid,"E- tag must be preceded by B- or I-, found 'O-' instead"
394,11,Ensure,I-NonEvent,invalid,"I- tag must be preceded by B- or I-, found 'O-' instead"
412,2,up,E-Event,invalid,"E- tag must be preceded by B- or I-, found 'E-' instead"
417,7,(Code,E-Event,invalid,"E- tag must be preceded by B- or I-, found 'E-' instead"
417,8,:,I-Event,invalid,"I- tag must be preceded by B- or I-, found 'E-' instead"
449,2,(Code,I-NonEvent,invalid,"I-NonEvent followed by I-Event, entity types must match"
449,3,:,I-Event,invalid,"I-Event must be preceded by B-Event or I-Event, found I-NonEvent"
449,4,120732),E-NonEvent,invalid,"E-NonEvent must be preceded by B-NonEvent or I-NonEvent, found I-Event"
454,2,(Code,I-NonEvent,invalid,"I-NonEvent followed by I-Event, entity types must match"
454,3,:,I-Event,invalid,"I-Event must be preceded by B-Event or I-Event, found I-NonEvent"
471,8,:,I-Event,invalid,"I- tag must be preceded by B- or I-, found 'E-' instead"
472,8,:,I-Event,invalid,"I- tag must be preceded by B- or I-, found 'E-' instead"
473,8,:,I-Event,invalid,"I- tag must be preceded by B- or I-, found 'E-' instead"
478,0,Warning,B-Event,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
479,0,Warning,B-Event,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
480,0,Warning,B-Event,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
481,0,Warning,B-Event,invalid,"B- tag must be followed by I- or E-, found 'O-' instead"
