message,label
Downward Obstacle Sensing is not functioning. Ambient Light is too weak,Low
"High-altitude flight, aircraft braking distance is extended, flight time is shortened. Fly with caution",Low
Aircraft Core Board Overheated,High
Data Recorder File Index is 30.,Normal
File system error. Change SD card,High
Your palm is too far away from the aircraft. Please step closer.,Low
SD card malfunction. Change card,Medium
Flight distance may exceed line-of-sight. Fly with caution,Normal
Downlink Restored (after 0m 1.5s).,Normal
Auxiliary Bottom Light turned on,Normal
Cannot takeoff. Ensure the aircraft battery is properly connected,Medium
"Unknown Error, Cannot Takeoff. Contact DJI support",Low
Compass Error. Compass disconnected,Low
Aircraft battery level low. Return to home promptly,Medium
Take off and retry this function.,Normal
Right Dial Locked. Lightly press to adjust.,Low
Gimbal motor overloaded. Check whether gimbal can rotate freely,Low
Home Point Recorded.,Normal
Extra payload detected. Max altitude set to nnn and max distance set to nnn to ensure flight safety,Low
Max Flight Altitude Reached. Adjust in Main Controller Settings if necessary,Low
Battery Voltage Difference too large. Check Battery Status,Medium
"Compass error, calibration required",Low
Taking Off.,Normal
Warning: Command Failed,Medium
Aircraft close to Home Point. go home shifts to landing.,Normal
Warning: Critically low battery. Please change the battery,Medium
Aircraft unable to return to home automatically. Lower altitude immediately and return to home manually,Medium
Check whether the propellers are attached to the correct motors based on their markings. Incorrect installation will cause the aircraft to roll over during takeoff,Normal
"Not Allowed to change Aircraft Mode. If needed, enable it in Main Controller Settings",Low
Extra payload detected. Flight performance will be affected. Fly with caution,Low
Aircraft too Far. Cannot enter Follow Me Mode,Low
Magnetic Filed Interference. Exit P-GPS Mode,Low
Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,Medium
Manned aircraft too close. Fly at a safe altitude,Medium
Landing Gear Raised.,Normal
Mobile device CPU fully loaded. Related performance will be affected.,Medium
Warning: Motor Obstructed,Medium
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution. Downlink Lost.,Medium
Maximum Flight Altitude Reached.,Low
Calibration target not far away enough. Please calibrate using infinity,Low
RTH : Cruise.,Normal
Cannot track subject: Gimbal Tilt too Large,Low
High altitude. Aircraft braking distance increased and flight time decreased. Fly with caution,Low
"Home Point Recorded, Return-to-Home Altitude : 98FT.",Normal
Aircraft ActiveTrack max speed of nnn and Obstacle Avoidance functions normally,Medium
ActiveTrack Flight Ended: Aircraft is entering a restricted area,High
At least two Waypoints are needed,Normal
AirSense communication error. Unable to display nearby manned aircraft and anti-collision warnings. Fly with caution,Medium
Cancel Landing Failed,Low
Battery: Connection Error,Medium
Data Recorder File Index is 19.,Normal
Aircraft in high interference environment. Fly with caution,Low
Aircraft is returning to the Home Point. RTH Altitude is nnn. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary,Normal
Capture Failed The aircraft is moving. Cannot shoot panorama,Low
Downlink Restored (after 0m 2.9s).,Normal
Payload mode enabled. Return the aircraft to an area nearby the home point promptly to ensure flight safety,Normal
Payload mode enabled. Max altitude and distance set. Fly with caution,Normal
Weak signal. Adjust antenna and avoid signal block.,Medium
Aircraft processor overheated. Automatically returning to home,High
Aircraft in high interference environment. Manually adjust flight route or return to home,Low
Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution,Low
Compass Interference. Temp Max Altitude : 98ft,Low
Cannot start Return to Home due to weak GPS signal,Medium
Aircraft flight control unlocked,Normal
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Low
Battery: Low Voltage Protection,Medium
Aircraft propulsion system error. Forced landing. Manually control the aircraft and land in an open area,High
Downlink Restored (after 0m 5.8s).,Normal
Attitude is too large. Forward obstacle sensing is unavailable,Low
Auto landing initiated,Normal
Capture Failed Shooting interrupted,Low
Aircraft pitch angle too large. Ensure aircraft is level before taking off,Low
Critical low battery. Aircraft returning to home,Medium
Switched to gimbal free mode. Use the RC to control aircraft yaw,Normal
Switched to P (Positioning)-mode.,Normal
Exited Cruise Control mode,Normal
Compass Error. Compass error Solution: Move away from ground magnetic interference,Low
Distance limit enabled. Fly safely,Normal
Warning: Battery Temperature Below 15°C (59F). Warm battery to above 25°C (77F) before flying,Low
Downward vision sensor calibration error. Auto calibration in progress,High
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution. High wind velocity. Fly with caution and land in a safe place ASAP.,Medium
"Camera Error. Solution: Restart the aircraft, if the problem persists, contact DJI Support",Low
Failed to cancel landing,Low
Upward Obstacle Detected,Low
Compass Error. Compass Error. Compass disconnected,Low
Failed to lower or pack up landing gear. Take care of your gimbal when landing,Medium
Flight height too low,Low
Compass Error,Low
Manned aircraft detected nearby. Fly with caution,Medium
Exiting GPS mode: Unknown Error,High
Aircraft is close to Home Point. Return-to-Home Mode is now Auto Landing Mode.,Normal
Compass Error. Compass Error. Compass data error. Please contact DJI Support,Low
Aircraft in Restricted Zones. Check map to find Recommended Zones,High
Your aircraft has entered a Warning Zone (Class D). Please fly with caution.,Low
Downlink Restored (after 0m 5.6s).,Normal
Compass Error. Compass data error. Please contact DJI Support,Low
Aircraft settings updated to comply with national regulations,Normal
"Low power, please replace the battery",Medium
"Braking now. Return sticks to midpoints, then continue flying.",Low
Strong wind warning. Aircraft unable to return to home automatically. Lower altitude immediately and return to home manually,Medium
Disable SD card read and write protection or change card,Normal
Aircraft entered Fixed-Wing Mode. Current flight speed is nnn. Press C2 to exit,Low
The flight attitude angle is larger in Sport mode. The gimbal will rotate when the aircraft starts or stops. Use Normal mode if required for stable shooting,Normal
"To take off in non-P mode, toggle Flight Mode Switch to another mode and then toggle it back.",Normal
Downlink data connection lost for nnn seconds,Low
Gimbal Yaw Limit Reached,Low
Aircraft ActiveTrack max speed of nnn. Left and right Obstacle Sensing systems are available,Medium
"Battery communication malfunction. Reinstall battery. If the issue persists, replace battery",Medium
Subject too Small. Get Closer and retry,Low
Cannot exit ActiveTrack,Low
Data Recorder File Index is 57.,Normal
Ambient Light is too weak.,Low
Downlink Restored (after 0m 1.1s).,Normal
GPS signal weak. Positioning accuracy affected. Fly with caution,Low
Obstacle Avoidance Disabled. Landing gear lowered. Obstacle Avoidance Disabled.,Normal
Remote controller assisted takeoff initiated.,Normal
Not Allowed to change Aircraft Mode. If needed,Low
Aircraft antenna satellite signal searching error. Fly with caution,Medium
Running Flight Simulator. Restart aircraft to take off,Normal
GPS module error. Restart aircraft,Low
Downward vision sensor error. Contact DJI Support for assistance,High
Return-to-Home Altitude : 65FT,Normal
Setting new Maximum Flight Altitude to nnn,Normal
Insufficient SD card space. Change card or delete files,Low
Downlink Restored (after 0m 1.4s).,Normal
The aircraft is flying back to the start point,Normal
PalmControl in Process,Normal
Color display in Liveview is enhanced. Videos and photos will still be shot in D-Log mode,Normal
Landing Gear Raising.,Normal
Motors Started.,Normal
Compass Error. Compass data error. Please check the Compass installation and interference,Low
Data Recorder File Index is 18.,Normal
Incompatible firmware version. Go to Profile > Settings to update firmware,High
Cannot send ActiveTrack command,Medium
Aircraft GPS signal too weak. Home Point not updated,Medium
Compass initialization failed. Restart aircraft,Low
Flight altitude exceeds nnn. May violate local policies and regulations. Ensure you have obtained proper airspace authorization,Low
Cancel Return-to-Home Failed,Low
Compass direction is not the same with IMU,Medium
Command Timeout,Medium
Yaw Error.,Low
Propeller guard or extra payload detected. Flight performance will be affected. Fly with caution,Low
Object too far for laser rangefinder,Normal
GEO: You are in a Warning Zone (Airport Class Airspace Unpaved Airports Power Plant). Fly with caution,Low
"Tip: When multi-gimbals are controlled together, only the first gimbal spotlight feature is available",Normal
No GPS signal. Unable to take off. Move to an open area or exit flight tutorial,Low
Sensing system is blocked or too close to the obstacle.,Low
RTH altitude adjusted to nnn,Normal
Downlink Restored (after 0m 1.6s).,Normal
ActiveTrack Flight Ended: Control Signal Timeout (RC),Medium
Gimbal IMU data error. Contact DJI Support for assistance,Low
Detecting subject,Normal
Landing Gear Lowered.,Normal
Propellers not installed,Low
Strong Interference to Remote Controller. Signal interruption maybe more likely. Fly with caution,Medium
Current RTH route will pass a No-Fly zone. Pay attention to the aircraft's position to avoid RTH failure.,Medium
Large Wind Velocity.,Medium
Capture Failed Insufficient storage space. Cannot shoot panorama,Low
Aircraft flight control locked,High
Gimbal nnn pan axis endpoint reached,Normal
Critical low battery. Recharge promptly,Medium
Obstacle Avoidance disabled. Landing gear lowered. Obstacle Avoidance has been disabled.,Normal
Downlink Restored (after 0m 1s).,Normal
Returning to the Home Point,Normal
Attitude is too large. Backward Obstacle Sensing is not functioning.,Low
Your aircraft is at the boundary of an Altitude Zone. Please fly away or land with caution,Low
Manned aircraft approaching. Fly at a safe altitude,Medium
Account not logged in. Flight altitude and distance restricted to nnn and nnn. Check and log in,Low
Backward Obstacle Sensing is not functioning.,Low
Vision sensor(s) blocked. Fly with caution,Low
Min Waypoint Distance: nnn,Normal
Executing waypoint mission,Normal
"Ambient Light too Weak, Forward obstacle sensing is unavailable. please ensure safety during the flight",Low
Downlink Restored (after 0m 2.2s).,Normal
Low Power. Returning home.,Medium
Flight Mode Set to Attitude,Normal
Auto Landing in nnn(s),Normal
Camera Settings Adjusted to ActiveTrack,Normal
"Home Point Recorded, Return-to-Home Altitude : 98FT",Normal
Obstacle sensing not available at night. Adjust RTH altitude to above tallest surrounding building before flying,Low
Barometer initialization failed. Restart aircraft,Low
