message,label
Aircraft is in Sport Mode. Exit this mode and try again,Normal
Data Recorder File Index is 4.,Normal
GPS Position Mismatch.,Medium
Obstacle Avoidance Disabled. Landing gear lowered. Obstacle Avoidance Disabled.,Normal
Strong Interference. Fly with caution.,Low
GPS Position Mismatch.,Medium
Landing.,Normal
Low Power. Aircraft is returning to the Home Point.,Medium
Propeller Fell Off. Motor idle. Check whether propellers are installed,High
High wind velocity. Fly with caution.,Medium
Precision Landing. Rectifying aircraft position.,Normal
Compass Error. Magnetic Filed Interference. Exit P-GPS Mode,Low
"Ambient Light too Weak, Forward obstacle sensing is unavailable. please ensure safety during the flight",Low
GPS Position Mismatch.,Medium
Landing Protection Activated. Aircraft will decelerate during landing.,Normal
GPS Position Mismatch.,Medium
APAS has been enabled,Normal
Taking Off.,Normal
Battery not installed properly. Return to home immediately. Check and re-install battery,High
Home Point Updated.,Normal
GPS Position Mismatch.,Medium
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
High wind velocity. Fly with caution.,Medium
GPS Position Mismatch.,Medium
Home Point Recorded. RTH Altitude : 30m.,Normal
Aircraft is returning to the Home Point. Minimum RTH Altitude is30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH.,Normal
Obstacle Avoidance will be disabled in landing.,Normal
Aircraft close to Home Point. go home shifts to landing.,Normal
Home Point Updated.,Normal
Battery temperature too low. Fly with caution,Medium
Taking Off.,Normal
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.,Medium
GPS Position Mismatch.,Medium
Strong Interference. Fly with caution.,Low
Landing Gear Raised.,Normal
Obstacle Avoidance will be disabled in landing.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Large Wind Velocity.,Medium
Remote controller assisted takeoff initiated.,Normal
Fly with caution and ensure the aircraft remains within your line of sight.,Normal
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Low
GPS Position Mismatch.,Medium
Data Recorder File Index is 65.,Normal
GPS Position Mismatch.,Medium
Strong Interference Detected. Be careful when flying long distances.,Low
Large Wind Velocity. Fly with caution.,Medium
GPS Position Mismatch.,Medium
IMU warming up. Wait before taking off,Normal
Arrived at Start Point. Starting Waypoint Mission,Normal
GPS Position Mismatch.,Medium
"Aircraft will not enter S-mode if powered on with the remote controller set to S-mode. Please switch to Normal mode, then back to S-mode to enable it",Low
Fly with caution and ensure the aircraft remains within your line of sight.,Normal
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
Precision Landing. Rectifying aircraft position.,Normal
Home Point recorded. Return-to-Home Altitude : 98FT,Normal
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Low
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Satellite positioning off. Fly with Caution.,Low
Home Point Recorded. RTH Altitude : 30m.,Normal
Landing Gear Lowered.,Normal
Motors Started.,Normal
Critical low battery. Aircraft in Auto Power Off Protection. Forced landing in progress,High
GPS Position Mismatch.,Medium
Landing Gear Paused.,Normal
SD card write speed is too slow. Not suitable for shooting a 4K video.,Low
GPS Position Mismatch.,Medium
Tap the screen to focus.,Normal
GPS Position Mismatch.,Medium
PalmControl in Process,Normal
Taking Off.,Normal
Return-to-Home Altitude : 98FT.,Normal
Strong Interference. Fly with caution.,Low
Precision Landing. Rectifying aircraft position.,Normal
